word,raw_frequency
litanie,1
accédions,1
embastillait,1
présenté,15
allé,12
destin,30
sénégal,2
quoiqu,4
parties,4
ruisseaux,1
tutoyer,2
bougie,1
absolu,19
financera,1
téléphone,6
délibérante,2
limiter,10
limites,2
retraiter,2
retraites,22
faudra,34
constitutionnalité,1
papon,1
législation,2
vigie,2
coûtera,2
émeute,3
monstre,2
accorderont,1
carreau,1
êtres,2
diplôme,5
pari,1
départementale,4
parc,2
géopoliticiens,1
progressé,4
pare,1
abandonnons,1
obligera,2
louis,5
transfèrent,1
accéléré,4
part,137
bretons,1
vigilant,1
suppression,29
hausse,34
démodée,1
croissantes,1
silence,10
envi,1
négocier,8
contents,7
mobilisation,3
monopole,24
recomposition,3
italiens,2
suivez,3
cotta,2
rappelées,2
tillinac,1
chutes,3
expliquant,4
ferrand,2
emblème,1
présente,21
effectuaient,1
assimiler,6
machiste,1
récompensés,1
fréjus,1
vêtement,1
présents,14
surcroit,4
proposés,3
payer,61
rackette,2
analystes,8
payez,4
intermédiaire,18
chacun,109
démanteler,2
déroulant,1
grattant,3
apprend,15
suffit,32
directeur,6
garçon,3
progresse,10
déchaîne,2
bolkestein,1
habituer,2
fabien,1
étonnements,1
paiement,1
demandés,2
adoptions,1
maman,1
production,29
habituel,5
instruisent,1
toujours,258
recompose,1
montent,10
urne,4
guerre,98
satisfaisant,1
mollesse,2
inavouables,1
assumerai,2
pardon,17
enferment,1
récession,10
dignement,3
éluder,2
consul,1
malfaisance,1
colonial,1
politicien,2
assurer,49
trainent,1
soutenue,3
dcri,5
auditions,2
injurieux,2
décidées,1
franchouillard,1
ébranlé,2
goût,8
cours,32
formalité,3
libertaire,2
soutenus,5
conscients,12
court,15
triompher,1
synonyme,1
maîtrise,29
associant,2
chevaux,1
moquiez,1
attendus,1
gains,1
discussion,4
ratée,2
international,19
carré,7
devraient,14
instruction,7
avançons,3
durement,11
humanité,6
troyes,2
pareils,1
boulet,4
marchande,2
éditeurs,1
réussie,1
conférence,12
illégalement,6
adorateurs,2
intéressé,3
octroient,1
attitude,9
intervention,27
faïence,1
conteste,16
super,6
réussit,1
étale,1
déchéances,1
hésitez,1
réussir,6
travaille,9
prévisions,2
ordinateurs,1
binationaux,1
richelieu,4
euromaniaques,1
habitué,1
pillés,2
naissance,9
bourgs,2
élections,108
cohérence,24
avoueront,1
campements,1
moribonde,1
jeté,5
délivré,3
renouvelables,2
démoralisation,1
seigneur,2
désagrègent,1
ressortirait,1
collective,23
intransigeant,1
favorable,7
claires,22
immigration,317
enquêter,1
exigeront,1
films,1
précarisation,3
exigerons,1
jouisseur,1
régissent,1
améliorent,1
bourguignons,2
réactive,2
joyeusement,2
national,443
naïfs,5
monétaire,39
télévision,29
cohorte,2
fondés,1
indécentes,1
maîtrisé,3
endogamique,1
assimilait,1
passés,11
ferai,43
comportements,7
feindre,1
géographie,1
fondée,9
soigner,25
polis,1
économiquement,8
structure,14
abattus,1
tunisiennes,1
piégée,1
intéresse,49
amnistie,5
partiale,2
fourni,2
pénaliser,2
rationalité,1
imputable,1
travaillé,15
goasguen,2
stupides,2
bébé,1
déverser,4
caricatural,2
subsistent,1
étalé,1
serviteurs,4
finiront,2
pêle,1
restrictions,3
révisée,1
paravent,1
tourmente,1
citadins,1
accrochés,1
impotent,1
décorations,1
déprécier,1
éprouvés,1
indépassable,5
publier,1
communistes,2
merlin,1
préoccupations,14
brutalisent,1
imite,2
achat,101
accédant,1
mayonnaise,1
verdâtres,1
solides,6
enseignements,2
sachent,26
domaine,41
instaurerait,1
démontreront,2
bénévoles,3
nora,2
carnet,2
poussons,1
choisie,6
inestimable,2
donnons,3
refabriquer,1
consistent,5
choisis,5
choisir,27
abandonné,13
franchissent,2
faits,43
passée,9
choisit,5
fabriqueront,1
démasquer,1
consultation,2
éveil,1
parier,2
regrettable,4
médicaments,12
guettant,1
vérités,5
protègent,11
manifestaient,1
bronze,1
traduction,2
vidée,1
continuez,4
durcir,2
termisme,1
atteignaient,2
souffrir,11
quotas,15
serveuse,1
voila,7
déshonorant,4
maternelles,2
voile,16
manufacturés,1
violer,4
détaillant,1
constituant,2
crèches,2
séduits,1
dicter,1
tirant,2
horrifiantes,1
cantons,2
honnêtement,56
personnellement,3
désillusions,1
opprime,2
annuels,1
cruel,6
divertissements,1
manifester,4
familiale,7
meirieu,1
bonnes,19
criant,1
mers,2
lèvres,3
pôle,8
fragmentent,2
attendant,7
pente,6
inviterai,1
slogans,6
légende,2
impartialité,3
borloo,3
messieurs,25
partant,5
boutiques,2
lorgnette,1
abandonne,9
direct,8
margerie,1
produits,54
financières,21
subissent,17
instar,5
paroles,7
ennuis,1
complexées,1
suffisent,1
organiserai,1
obtiennent,6
contente,8
subverties,1
communautaires,1
délitées,1
dimension,4
voilà,348
douze,1
souverains,1
preuve,43
trouver,51
trouvez,8
indignes,2
indigner,2
souveraine,10
fraudes,4
décor,1
actes,31
loisir,3
attentions,1
frappant,2
mythologie,2
référencement,1
maritimes,4
reculerai,1
marion,4
bardot,1
exécrons,1
motif,3
plaisent,3
moindres,2
terroir,2
françaises,69
encore,506
influence,31
inspirateur,1
attaquant,2
ravier,3
commandé,2
idées,82
promise,1
difficulté,31
admets,2
échos,2
morose,1
quotidienne,17
libérons,2
urgence,24
cerné,1
