word,raw_frequency
croyaient,8
mercedes,1
sexuelles,3
répartissant,2
litham,1
appartiennent,11
mentir,14
fonctionnaires,120
prêchaient,1
déséquilibré,2
rétablir,80
convertis,1
rétablit,5
apportées,5
immortellement,1
isabella,1
sobriquet,1
archétype,1
isabelle,3
maintenus,4
rétablie,11
marée,3
desquels,8
participais,1
clandestinement,3
rampant,2
rangent,1
incohérences,1
océans,2
rompu,5
nunuche,1
individualiste,3
protocole,2
signeraient,1
rompe,4
artificielles,2
assister,16
dires,8
nickelés,1
plonger,2
conduira,2
amendement,11
montlouvrier,1
conduire,31
ticpe,1
poteau,2
forfait,3
prolongement,3
chaleurs,1
chandelles,1
couvre,6
hais,1
rétablis,2
immigrant,1
enlevé,1
dégonflaient,1
parcelle,1
nitrates,1
déséquilibre,9
plaque,3
intergouvernemental,1
indissociables,2
profonds,3
répand,3
popularités,1
indemnité,3
régence,1
stasi,2
abrite,2
flacon,1
cuisantes,1
nihilisme,1
inquiet,11
clairvoyance,4
témoigner,11
abordent,1
législateur,3
développements,1
puissions,12
sanctuariser,1
souvenir,32
demanderons,1
jaures,1
acquérir,7
péchait,1
échouer,5
hissé,1
contaminées,2
discutez,1
hyperempire,1
flottants,1
oreille,6
trompons,9
inquiets,6
catastrophe,32
secrétaire,38
palestel,1
séparent,5
trou,18
courants,14
sensibilités,8
bâtardes,1
remémorent,1
égorgent,1
courante,4
compétition,39
exquis,1
élitisme,4
invivable,1
aspiraient,1
édifié,1
murmurer,1
bendjedid,1
nairobi,1
inventaire,3
rompt,4
sang,46
complétés,1
lyrique,1
nervis,1
pommes,2
paraitra,2
navire,5
désir,34
entamer,1
paraitre,2
sachiez,4
garantit,2
rongent,2
garantir,15
garantie,25
accommodent,3
agitons,1
inculquée,1
briguer,1
romorantin,1
risquons,1
confine,1
truqués,3
retomberaient,1
éventuelles,2
bordure,1
versement,5
airbag,1
syllabique,2
confins,4
truquée,2
communal,3
saluée,2
véhicule,3
garer,1
lipovetsky,1
accabler,3
islamisme,19
suicider,2
visiter,6
arrogant,1
vorace,2
affres,1
respectez,4
incestueuses,1
pertinence,2
remarque,21
nourries,2
respecter,83
lieux,42
harlem,12
toison,1
comprenant,3
glorieuse,9
épuiseront,1
grondement,1
supprimeront,1
élargissement,9
aloi,1
bâillon,1
billes,2
dissuasives,2
contrainte,16
enchaînés,1
christianisme,6
gorge,3
assainissant,1
vives,6
