first,second,likelihood_ratio
hauts,fonctionnaires,62.54294422286621
national,arrive,21.27935219474778
nous,sommes,56.4466049291005
nous,avons,46.50660900470416
jusqu,présent,45.656641111287016
bien,aurait,15.117361548286066
bien,évidemment,12.147264110234532
bien,dire,8.23271759562401
certain,nombre,73.5412416525921
vous,savez,28.922507406145808
parti,socialiste,31.114851086931807
délinquance,criminalité,52.38675778137654
commission,investiture,49.08446822335574
conseil,constitutionnel,78.5082875446206
plus,grave,24.96318773058998
plus,plus,17.01060063921898
quelque,sorte,121.32906215326307
extrême,gauche,30.22177751746537
mégret,amis,15.928980175314873
congrès,extraordinaire,32.770370093828575
tout,monde,49.13631833902231
politique,française,18.37522353094794
politique,politique,6.235283215090632
peux,dire,21.172898849211894
gaïa,intervenus,43.3896882075257
grand,orient,40.929502752069915
prendre,place,29.944461256491927
vème,république,36.94427569571216
mort,préfet,30.03247319134298
suis,obligé,21.172898849211894
suis,président,10.33190176561763
premier,tour,41.24349707856068
premier,ministre,26.400609338193565
beaucoup,plus,26.99439833524714
bruno,mégret,43.97481735580475
amis,mégret,23.88253012195903
faut,bien,18.43595058405829
président,république,35.373834926971924
président,commission,30.572041790757915
président,front,23.201556194999778
circonstances,exceptionnelles,62.54294422286621
monde,sait,52.929965514013034
temps,temps,25.145546798175904
temps,travail,24.019300097993533
dont,ailleurs,17.498210933803698
boîte,postale,67.54696845824506
soyons,sérieux,47.888076624429104
jean,marie,71.38836712961587
élections,européennes,33.34306362837834
serge,félon,41.80174597085186
vais,dire,34.20513368290462
bureau,politique,175.84794204506522
deuxième,tour,32.246890307334596
bande,quatre,44.06899161466023
trois,mois,24.511867597350662
trois,président,17.964812126429162
hommes,politiques,22.93708279610411
bataille,politique,20.61071364167848
campagne,électorale,76.23007388465497
dire,suis,7.216038346082838
pour,instant,53.12636943241442
moment,donné,31.61719249917633
front,national,844.8941135897503
partis,dont,20.52615881703254
avons,invités,27.421872831235294
avons,toujours,17.95980932552263
mettre,place,32.770370093828575
gens,front,10.473690520907024
martinez,serge,36.94427569571216
martinez,félon,26.378314302116056
dois,dire,22.746149223965524
