measure,first,second
10.684788460118998,monopole,marchés
11.915401388260413,fabriquer,esclaves
13.144220078756295,zapatero,berlusconi
9.118684986649152,administration,fiscale
11.42997456109017,musique,militaire
6.199508017712805,verrons,bien
12.804370075871667,suffrage,universel
7.858817859894044,rétablir,frontières
9.2253568414817,années,1970
6.306493604207104,années,années
5.294619503918813,années,viennent
0.8656072811593702,années,bien
10.471794736784796,tête,cochon
7.427400617426343,tête,liste
4.155890429525206,tête,écoutez
3.43104839444149,tête,front
11.166940155256377,exception,culturelle
3.3132097978097743,étranger,français
9.984348741977906,travailleurs,manuels
3.516743191894907,travailleurs,français
9.59347329337305,véritable,honte
6.371080872036604,véritable,démocratie
3.140614328659238,prouve,bien
7.727873708579157,front,national
6.763623733528357,front,républicain
2.449732957706413,front,gauche
6.11631408218641,sarkozy,croit
5.472457892411686,sarkozy,réussi
3.7764640793017836,sarkozy,parle
3.0610316466852208,sarkozy,nicolas
2.648708532103413,sarkozy,ecoutez
2.433319498504723,sarkozy,pouvoir
1.899083365965737,sarkozy,était
1.8731400987134599,sarkozy,soit
1.0077896254082397,sarkozy,faut
0.9463890807440976,sarkozy,france
0.904425787640406,sarkozy,ailleurs
0.5108345641247389,sarkozy,crois
0.1716020211429239,sarkozy,bien
0.1505297975243245,sarkozy,plus
6.13929740018725,effondrement,pouvoir
4.947464286041265,évidemment,objectif
3.21755344940901,évidemment,absolument
2.5501287884958828,évidemment,immigration
1.0761976001634679,évidemment,plus
-0.054733269662978756,évidemment,bien
10.836791553564046,marchés,financiers
7.555505443174031,marchés,publics
3.408664054844758,marchés,suis
10.389332576592825,payent,plein
6.36696476356437,payent,leurs
8.886832236063643,aggravation,insécurité
8.751902655977535,combien,coûte
11.067404481705463,propres,besoins
3.6069410008664864,vivre,français
7.426886379302598,quoi,sert
4.352395835198013,quoi,veut
2.104958284415236,quoi,faut
1.8104707176184114,quoi,faire
1.3711323977796006,quoi,dire
12.974295077313982,carte,vitale
9.804370075871667,carte,identité
10.726367563870394,etats,unis
9.014937061811327,joue,rôle
10.868095673482056,religion,chrétienne
9.730592149732121,religion,musulmane
5.006862939770407,aimerais,bien
7.897479480263149,résoudre,problèmes
7.003177348348851,résoudre,problème
5.135091289217035,rapport,entre
6.1225460358979245,serai,candidat
4.429330644524745,quelqu,dont
7.2585237054168985,considère,étant
8.496247780509334,maîtrise,frontières
3.4729001655729927,preuve,ailleurs
8.502168385828318,jour,lendemain
8.093283113531067,mouvements,politiques
14.974295077313982,karl,marx
12.45972190448422,arabe,députation
11.59578345406025,cure,austérité
9.678653673946894,second,tour
9.09982595939784,tirer,conséquences
10.623797830229847,délinquants,criminels
13.974295077313982,gaudin,pacha
8.004668726357497,essayer,empêcher
7.91720588510716,essayer,sauver
11.514863458676682,aide,médicale
6.371905504834642,aide,sociale
5.281776436544002,pourrais,faire
11.362860365231635,idéologie,ultralibérale
6.5934732933730515,demi,voix
4.547436311784615,pourrait,faire
2.371132397779599,pourrait,dire
6.242976046288918,euros,dette
6.124331549790295,euros,mois
2.4302161039164556,occurrence,crois
9.24637462275078,financement,public
9.858817859894046,intelligentes,frontières
11.858817859894046,cures,austérité
6.944547733919929,2002,avais
8.158378141752952,maitrise,frontières
13.336865156698689,valse,étiquettes
5.348586234249515,route,front
9.340089057572976,élections,générales
9.05058244037799,élections,présidentielles
8.275958720153259,élections,législatives
8.275958720153259,élections,régionales
7.9250515582941325,élections,européennes
7.465619939656834,élections,municipales
7.3400890575729765,élections,cantonales
0.5653019979718046,élections,bien
8.569626551418683,père,mort
9.291133350604722,automatique,nationalité
8.777897864510479,grandes,villes
8.7454763868181,grandes,écoles
7.915401388260413,grandes,institutions
7.713767527090763,grandes,économies
7.706406822139506,grandes,entreprises
12.237329483147775,syndic,faillite
7.799369394813299,lutte,contre
13.014937061811327,eglise,catholique
9.729534842949079,commissaire,européen
8.03178057197474,trois,semaines
7.314180302675464,trois,quatre
6.690743654139672,trois,mois
5.464739979250847,trois,jours
2.8208837894761203,trois,plus
8.56490414117628,milliard,euros
8.559257578035135,telle,telle
5.65424671564484,politiciens,français
8.384331895534457,attendez,attendez
3.678143617360041,idée,faut
7.871627916380186,moment,donné
3.7138982119081785,moment,sera
1.8149843370224943,moment,était
0.40943108708703946,moment,bien
13.559257578035137,hénin,beaumont
4.629444393370989,viens,dire
9.056757237505956,révolution,fiscale
6.486901629175007,révolution,française
9.136351835422952,suppression,aide
8.432553105191946,suppression,impôt
8.399386241256748,suppression,double
13.974295077313982,saddam,hussein
6.40022721769612,près,loin
5.845012060369013,près,milliards
5.836450046865586,près,millions
11.014937061811327,philippe,villiers
5.126193812913069,groupe,front
10.478884161571118,caméras,télévision
14.974295077313982,dalil,boubakeur
5.764570960996259,probablement,probablement
8.617645603248254,hommes,politiques
7.341703713635072,hommes,femmes
7.904621549507169,sens,terme
6.145629649010965,sens,projet
8.751902655977531,joué,rôle
11.166940155256377,connu,gaullistes
7.079477314006036,connu,parti
4.504362599241226,voit,bien
3.259906442238794,voit,ailleurs
11.974295077313982,juge,instruction
10.27385535917289,juge,libertés
8.675087058926701,processus,démocratique
8.829070516499991,monnaie,forte
8.652913561346164,monnaie,unique
8.466500437115284,monnaie,commune
6.9790544423083904,monnaie,nationale
4.85506572503294,monnaie,économie
8.81442374053559,préférence,nationale
5.364911104796397,presse,française
6.804370075871667,rentrent,france
5.025441188601771,passage,ailleurs
13.974295077313982,goulots,étranglement
7.030043954201533,algérie,française
5.475778250703296,algérie,gouvernement
9.572196633742632,secrétaire,général
7.886832236063642,secrétaire,parti
8.652366982426619,huit,jours
5.1264547216832685,passe,aujourd
7.040463938887182,vote,étrangers
6.3939318111646415,vote,public
4.641587143673375,lorsqu,était
9.149866641897436,jeunes,filles
3.687159891227278,jeunes,gens
11.137793809596857,conseiller,régional
8.648365051869124,bruxelles,paris
4.568444498881528,morale,politique
8.897479480263149,fond,commerce
5.389332576592825,fond,choses
7.576976973476853,construction,européenne
5.65424671564484,gouvernants,français
10.929900957955528,moralisation,publique
8.49451481328488,1957,premier
2.536023021189152,justement,politique
7.138455196403324,résultat,élections
6.1325997005618476,rien,voir
5.434490042212664,rien,change
5.385580441731717,rien,extraordinaire
3.737882185662599,rien,surtout
2.62713512015506,rien,savez
2.5655979113463623,rien,dire
2.5577614171143974,rien,puisque
2.4407219959241804,rien,rien
2.111851435101684,rien,faire
1.016346632066,rien,suis
0.3266867526781496,rien,plus
-0.06727852298209314,rien,bien
8.929900957955528,vendre,chômeurs
7.208760330951003,arrive,tête
5.149866641897436,arrive,situation
4.461225495074613,arrive,pouvoir
8.613813741657227,taux,intérêt
5.480217315869792,programme,celui
4.737151522167171,programme,front
11.929900957955528,fondamentalistes,islamiques
10.80437007587167,ancien,officier
7.2559334511756255,ancien,ministre
7.8364500468655915,député,européen
6.383084428927647,député,socialiste
3.2757350923911126,député,français
6.2831331727609,défendre,intérêts
6.209423486577888,défendre,intérêt
3.067404481705463,défendre,france
2.6542467156448435,défendre,français
4.084030800292872,désir,bien
10.483969450730898,région,parisienne
5.056028118221416,région,monde
10.734829142618592,donnent,instructions
4.8891546156122185,liste,front
10.429974561090171,lionel,jospin
9.27797146764512,médicale,etat
3.741208055181298,continuer,faire
8.707508536619079,rendent,compte
9.308959160128804,trésor,intérêt
10.126298170759028,pupille,nation
4.311745373758411,signale,ailleurs
7.166940155256377,allons,gagner
6.7822763050210515,allons,vers
5.270775966240919,allons,mettre
3.670818727289898,allons,faire
8.80437007587167,nation,structure
4.819476968261876,nation,française
4.007068818477988,cadre,national
10.574364470425348,décisions,prises
8.16897546484514,lutter,contre
7.237329483147775,propre,mouvement
4.503975142533946,propre,pays
8.482441980984307,nombre,actifs
7.745476386818101,nombre,activités
5.946389080744096,nombre,propositions
5.482441980984303,nombre,sujets
5.113208171318588,nombre,services
4.782002262843214,nombre,immigrés
4.709852477087379,nombre,députés
4.6079728630681664,nombre,groupes
4.482441980984305,nombre,choses
4.452694637590255,nombre,responsables
4.14854124443087,nombre,années
4.019735230314147,nombre,gens
4.001315291247691,nombre,conditions
3.7227050791594394,nombre,autres
3.641139727003365,nombre,candidats
3.4235482919307394,nombre,voix
3.263273460522143,nombre,temps
3.14854124443087,nombre,électeurs
2.0121220462042757,nombre,pays
8.707508536619079,république,référendaire
5.511111323815577,république,chef
4.900153614561475,république,démocratie
4.307577929730442,république,française
2.242622487889676,république,président
2.0752403211195656,république,était
0.6869915192785676,république,crois
0.45012069392642573,république,dire
7.599255645967055,obtenir,nationalité
8.877433538061393,toute,série
7.777897864510477,toute,évidence
7.192935363789321,toute,circonstance
6.913959414086504,toute,façon
6.826807464991425,toute,hypothèse
6.25182905284289,toute,petite
4.366471618784011,toute,campagne
3.49991311721071,toute,chose
2.25182905284289,toute,france
5.573415641031797,affaire,affaire
5.025927845729305,affaire,grand
12.099825959397839,bruno,gollnisch
11.152293379291972,bruno,mégret
8.330438887539257,seul,endroit
8.160513886096943,seul,souverain
8.03178057197474,seul,moyen
7.5148634586766825,permettez,rappeler
5.802145410757156,permettez,aphatie
4.586756377158471,permettez,hein
3.842438116705189,permettez,dire
14.237329483147775,nelson,mandela
8.929900957955526,responsabilité,lourde
10.915401388260413,réserve,légale
12.144220078756295,qatar,arabie
5.564904141176282,adversaires,politiques
10.292471037340237,groupes,politico
8.056757237505956,dramatique,plan
8.396027229166835,sommes,confrontés
7.226102227724521,sommes,arrivés
6.936595610529537,sommes,passés
6.752171039392108,sommes,seuls
6.641139727003365,sommes,obligés
3.4335443075949943,sommes,aujourd
2.9866362930291306,sommes,situation
2.7557822929444846,sommes,pays
1.1841389346208295,sommes,ailleurs
0.430242944504748,sommes,plus
8.274883285857548,importe,quoi
4.565375687198092,importe,pays
9.482441980984309,laisse,développer
12.559257578035137,puissances,financières
3.8618555705324287,ensemble,monde
2.2212873083687352,ensemble,français
7.1769938199203,inquiète,voir
10.53688976500668,dumping,social
11.225356841481698,menti,menti
9.545237107720203,référendum,initiative
8.858817859894042,guerre,civile
8.520704337265744,guerre,mondiale
7.7062599904218185,guerre,irak
5.969294396255615,guerre,libye
5.927474220560988,guerre,algérie
3.780632832231717,guerre,après
3.21755344940901,guerre,entre
2.102560927119079,guerre,était
1.2144068940921464,guerre,dire
12.599899562532482,ségolène,royal
9.443780360615202,aller,emprunter
8.273855359172888,aller,chercher
7.27385535917289,aller,angleterre
6.688892858451734,aller,battre
6.443780360615202,aller,bout
2.214961670119319,aller,plus
12.974295077313982,lieux,saints
9.429974561090171,lieux,publics
12.858817859894046,harlem,désir
9.027876117518822,ores,déjà
9.362860365231635,commis,crime
8.826807464991425,commis,erreur
5.646966994684028,verra,bien
10.751902655977533,origine,immigrée
9.652366982426617,origine,étrangère
5.876262994353455,arrivé,pouvoir
11.447749262818142,chers,compatriotes
8.27385535917289,aura,préparé
5.584556198636996,aura,candidats
5.573415641031797,aura,élus
3.5513893347017955,aura,beaucoup
3.4235482919307394,aura,plus
4.906860716557457,combat,politique
4.571283053738982,simplement,faire
11.652366982426617,conseils,régionaux
11.45972190448422,conseils,généraux
13.974295077313979,regroupement,familial
10.24940231544835,recherche,parrainages
8.605061267648264,doivent,comprendre
7.042125073257104,doivent,savoir
4.507029184687735,doivent,pouvoir
6.427400617426345,heures,travail
12.09982595939784,traité,lisbonne
8.077458146369384,traité,européen
9.24940231544835,mère,famille
10.201705573417055,majorité,silencieuse
7.616743072695899,majorité,socialo
3.9405509008014814,majorité,français
1.8419560130947232,majorité,bien
8.246374622750782,fraude,sociale
7.755126556851819,temps,antenne
6.340089057572975,temps,coûte
6.027811132719332,temps,temps
4.252626216322637,temps,travail
2.8752030088435703,temps,président
1.9370770339979764,temps,faire
0.9803394972506467,temps,bien
7.763975488278108,responsables,politiques
6.120119298503383,responsables,situation
9.055431840039386,nombreuses,années
4.010820953339092,immigrés,france
3.388497925114013,immigrés,pays
10.799924170840479,soyons,sérieux
4.741208055181298,tenter,faire
7.879777478529693,monde,entier
6.709852477087379,monde,arabe
5.544334577167845,monde,sait
4.5636317362363314,monde,compris
1.3562155224726773,monde,pense
1.247509263030178,monde,était
1.0931811166388847,monde,faut
1.0317805719747426,monde,france
0.7986935498420564,monde,faire
0.5789216072609307,monde,bien
9.688892858451734,lois,appliquent
4.040768337040204,consiste,faire
9.314497343670237,disposer,mêmes
11.144220078756295,bout,souffle
9.237329483147775,bout,logique
10.207582139753722,bâtiments,publics
7.2831331727609,suis,attachée
7.2831331727609,suis,opposant
7.283133172760897,suis,désolée
7.102560927119079,suis,sûre
6.868095673482058,suis,optimiste
6.868095673482056,suis,heureuse
6.631056476181202,suis,allée
6.390048376677409,suis,convaincu
6.2831331727609,suis,exprimée
6.2831331727609,suis,pupille
6.2831331727609,suis,xénophobe
6.283133172760898,suis,fier
6.0607407514244525,suis,fanatique
6.0607407514244525,suis,prêt
5.868095673482056,suis,leader
5.868095673482056,suis,resté
5.842560581374915,suis,hostile
5.698170672039746,suis,défenseur
5.698170672039746,suis,modeste
5.698170672039746,suis,partisan
5.408664054844758,suis,favorable
5.195670331510559,suis,présidente
5.167655955340965,suis,désaccord
5.0607407514244525,suis,inquiète
4.868095673482056,suis,candidate
4.219002835341181,suis,seule
4.101803408046333,suis,accord
3.9977309538986514,suis,député
3.5826934546198057,suis,totalement
3.5489446632652673,suis,assez
3.5461675785946944,suis,esprit
3.528245670597432,suis,avis
3.1956703315105592,suis,tête
3.1835974992099842,suis,homme
3.113208171318588,suis,quelqu
3.1132081713185844,suis,seul
2.890815749982142,suis,candidat
2.8737422366231975,suis,contre
2.8737422366231957,suis,train
2.780632832231717,suis,absolument
2.7132775644299514,suis,liberté
2.710243504340319,suis,premier
2.328936862374025,suis,petit
2.233284623310336,suis,président
1.8128132379808655,suis,campagne
1.780632832231717,suis,parti
1.2775086235670194,suis,certain
0.9255811681428163,suis,monde
0.5919712682078178,suis,suis
0.07124487821489467,suis,ailleurs
0.021978500145326763,suis,français
-0.9742546699317494,suis,dire
-1.097688611180029,suis,plus
9.118684986649152,économiques,sociales
8.884813068426986,nobel,économie
7.125324457634646,lors,élection
2.9236905964649953,présidentielle,pense
1.4094310870870395,présidentielle,bien
8.555505443174031,question,posée
5.737882185662599,question,pose
5.729534842949079,question,savoir
5.044543523896651,question,excusez
3.6106469973664908,question,question
1.6013091327871543,question,suis
0.5176839777390647,question,bien
10.684788460118998,semaine,prochaine
6.355450775547327,bureau,politique
10.96431098874136,plateaux,télévision
4.977115596376359,savons,bien
9.09982595939784,extrêmement,difficiles
8.707508536619079,extrêmement,claire
6.890372593768891,extrêmement,grave
8.965176432703057,deuxième,tour
6.2585237054168985,deuxième,position
6.0123631181474995,deuxième,guerre
8.174114188144113,pris,risques
7.911079782310317,pris,décision
6.976174810532205,pris,charge
6.589151687422955,pris,mesure
4.571283053738986,voulait,faire
9.707508536619079,intervention,syrie
12.014937061811327,monnaies,nationales
6.734829142618592,actuellement,train
14.559257578035139,sonnette,alarme
10.389332576592826,prix,nobel
9.652366982426619,prix,pompe
8.80437007587167,prix,essence
8.652366982426619,prix,pétrole
11.877433538061393,aspect,symbolique
5.330438887539257,réalité,face
5.160513886096945,réalité,fond
3.5702179410727464,réalité,problème
5.506689527230986,important,celui
3.8832270600537253,propositions,faire
5.857951116076512,bataille,politique
10.94454773391993,bompard,bompard
6.637416640960648,vivons,aujourd
12.389332576592825,témoin,assisté
13.067404481705463,prélèvements,obligatoires
8.716069310949806,élection,présidentielle
8.184218146688213,élection,législative
6.068740929268277,élection,françois
3.719332097958807,élection,président
13.751902655977531,small,business
12.237329483147773,mosquées,cathédrales
4.5461675785946944,mosquées,suis
8.997015153814063,présenter,candidature
6.117696636236529,présenter,élections
13.751902655977531,giscard,estaing
5.775440818714957,crise,économique
6.696620220476344,sera,présent
5.31415058365393,sera,probablement
4.111657719755186,sera,candidat
2.345545779929463,sera,plus
8.927474220560988,européenne,construite
4.840011379310649,européenne,train
7.7344755842193464,président,république
7.5094090285845745,président,sortant
6.117091605805815,président,groupe
5.076449621308468,président,conseil
3.6910551075777107,président,front
3.6025184329760584,président,chirac
3.1170916058058147,président,candidat
2.0664655327358474,président,sarkozy
5.198959151417089,écoutez,bourdin
4.719791314718533,écoutez,simple
4.360710221413704,écoutez,aphatie
4.28915696038867,écoutez,sens
3.354610021877285,écoutez,vais
2.9930548528692125,écoutez,abord
2.722931022249096,écoutez,voilà
2.5521913662224627,écoutez,suis
2.508643650549706,écoutez,vrai
2.2228362534350303,écoutez,crois
2.058477927867262,écoutez,aujourd
1.8129007191100115,écoutez,pense
1.1348288139973768,écoutez,faut
0.298641209732061,écoutez,bien
4.482441980984309,histoire,france
3.59708454692543,histoire,pays
7.177714626850554,aucun,résultat
6.4840458666868965,aucun,sens
6.209423486577888,aucun,rapport
5.995298681225041,aucun,intérêt
5.619127541553693,aucun,problème
4.787768108534541,explique,faut
8.822291983868933,derniers,jours
6.237329483147777,budget,milliards
8.379348488020204,avons,exporté
7.794385987299046,avons,versé
7.642382893853997,avons,subi
6.642382893853997,avons,intervenir
6.472457892411683,avons,payé
6.379348488020204,avons,gagné
5.876848147491019,avons,places
5.642382893853998,avons,perdu
5.5719935659626,avons,proposé
4.67890876987911,avons,élus
4.409722137063721,avons,armée
4.2638712706002675,avons,moyens
3.538046234039262,avons,candidats
3.4565163485426638,avons,mêmes
3.3003971466253788,avons,millions
2.9371261594151257,avons,plus
2.8874953916905266,avons,jamais
2.8479670275038895,avons,déjà
7.183946580562067,sert,rien
3.6548738380371955,sert,plus
5.371080872036604,ayons,plus
7.485116115282631,répondu,question
2.820883789476122,pratiquement,plus
10.500363888981571,apporte,solutions
7.307775167414926,argent,public
1.6759460616557966,argent,bien
12.974295077313982,gaïa,intervenus
7.9714800617069255,changé,avis
3.6469295653480405,ailleurs,appelle
3.5818345371261557,ailleurs,voit
3.3777429325326533,ailleurs,faudrait
2.844868942959952,ailleurs,plan
2.6194488289259343,ailleurs,étais
2.4245371440115946,ailleurs,façon
2.408769828153277,ailleurs,seule
2.2920868479879424,ailleurs,raison
2.2493372005286076,ailleurs,hein
2.1379159178601803,ailleurs,déjà
2.1249768621526854,ailleurs,avais
1.972329852142206,ailleurs,moment
