measure,first,second,third
18.508643868891443,campagne,électorale,législative
16.455532532431885,campagne,électorale,présidentielle
13.087634548258688,rôle,président,république
24.304733964853234,fabriquer,esclaves,vendre
21.234344636961836,présenter,candidature,arabe
23.1672304411033,esclaves,vendre,chômeurs
13.011006881340059,empêcher,front,national
16.99185100956888,président,conseil,constitutionnel
14.020520352400155,président,république,chef
11.505478848113306,président,front,national
10.752031516474243,président,république,président
9.847683755537933,président,république,était
22.373681318570725,suppression,aide,médicale
20.59949326044832,suppression,impôt,revenu
19.43508186323487,suppression,double,peine
16.976674106888858,avons,places,prison
15.709787375559458,avons,payé,milliards
14.4933325104147,avons,millions,chômeurs
11.594310158139518,avons,plus,moyens
11.245472134977078,tête,front,national
20.156342124960563,exception,culturelle,française
12.451953061235496,algérie,gouvernement,français
18.62290992487949,bénéfice,grands,groupes
15.507432707459554,poser,question,savoir
13.085007462783828,front,national,monter
11.74797247550626,front,national,arrive
11.71822513211221,front,national,revanche
10.940617553448657,front,national,rappelle
10.692690040005072,front,national,sera
10.471848070232024,front,national,veut
10.46257025664401,front,national,aura
10.450291926865575,front,national,part
10.332934976227413,front,national,aurait
10.163009974785108,front,national,avait
9.378738665840551,front,national,était
9.288540856868966,front,national,beaucoup
9.285265724836105,front,national,gens
9.122263632441797,front,national,front
9.089760992754467,front,national,soit
8.487444925283043,front,national,pense
8.464421052331957,front,national,crois
8.388222915183931,front,national,bien
8.367150691565339,front,national,plus
8.224410519449247,front,national,faut
8.121046681681413,front,national,ailleurs
15.297260192633068,train,mettre,œuvre
14.151181933145121,train,mettre,place
10.241342254351473,monde,sait,bien
12.45902700324432,ailleurs,raison,laquelle
9.409149216000714,ailleurs,certain,nombre
9.044376960672757,ailleurs,voit,bien
6.438352844423772,ailleurs,faut,bien
11.59238322815047,sarkozy,nicolas,sarkozy
12.274041287173851,voix,front,national
28.118515156070274,cautère,jambe,bois
20.006238564430994,armées,chef,justice
18.07377953001336,éducation,leurs,enfants
17.878469210151135,patriotisme,économique,patriotisme
11.069303069819341,quoi,veut,dire
16.415909553960024,gagner,deuxième,tour
16.85462246819677,œuvre,patriotisme,économique
18.387335711426324,système,protection,sociale
22.252266544959106,etat,collectivités,territoriales
16.70834540138555,strictement,rien,voir
20.653458988239095,delà,certain,montant
23.54865954773933,arabe,députation,paris
10.099576080933137,puisse,dire,était
21.37256077867681,maires,petites,communes
17.90385452857105,quelques,centaines,milliers
15.14683128206359,quelques,semaines,quelques
13.704545720347642,quelques,jours,après
14.245840275799665,jours,plus,tard
13.836313562988682,faut,poser,question
12.606978675717105,faut,faire,cesser
9.23415555025807,faut,bien,dire
8.526605259253085,faut,abord,faire
7.498454218938939,faut,faire,faut
23.131251143997734,prêter,trésor,intérêt
15.696406576937832,autres,mouvements,politiques
12.493566953022789,autres,pays,européens
11.071474696209997,autres,pays,monde
20.792834926321806,aide,médicale,etat
24.264091980355893,candidature,arabe,députation
24.904196035269507,neutralité,religieuse,neutralité
21.266766114654214,faits,divers,journaux
16.506049766866326,voulez,faire,club
