measure,first,second,third
19.089208174462065,destin,histoire,humaine
17.60911548513273,quelques,centaines,milliers
17.457112391687676,quelques,dizaines,milliers
11.265350220541109,quelques,jours,plus
22.85228946860568,présenté,candidature,arabe
22.289109925130553,unanimité,majorité,qualifiée
14.796154385952494,lorsqu,était,ministre
18.363647690337,vice,premier,ministre
29.193326386440745,immortelle,abandons,trahisons
16.392396535514266,reste,mois,vivre
10.912863700545774,plutôt,front,national
22.62178440148191,disposant,toute,modification
24.940345645270874,infâme,évêque,pierre
24.284300046488234,infâme,traité,troyes
21.987777475267713,organisation,nations,unies
20.48493219868407,organisation,mondiale,commerce
17.73005179313934,dignité,sociale,moyen
12.725169299242395,fonction,publique,plus
21.569810644950195,faits,divers,journaux
10.055307965565984,parti,front,national
22.652617123769314,mandelson,commissaire,européen
8.29183485399638,ailleurs,faut,dire
25.454558549640556,prière,jésus,marie
16.46962041479832,enfants,petits,enfants
22.506307184061974,dumping,monétaire,social
26.59242234185057,ferrée,pieds,taille
11.45907941224652,monde,besoin,france
11.036532253191368,monde,sait,bien
17.269107706692242,travail,cause,excès
15.317129221555188,travail,faire,travailleur
14.608102570495848,travail,famille,patrie
16.512517586475962,certain,nombre,sujets
15.279683418417868,certain,nombre,qualités
14.98506266952624,certain,nombre,choses
14.78783032208819,certain,nombre,domaines
14.567864638146283,certain,nombre,gens
13.994281199555619,certain,nombre,mesures
13.957755323530506,certain,nombre,dirigeants
13.524795916254398,certain,nombre,conditions
13.392345620230746,certain,nombre,autres
13.129936298913183,certain,nombre,problèmes
12.60725807644637,certain,nombre,hommes
10.381837962412355,certain,nombre,pays
9.963401886671644,certain,nombre,français
13.759161526413877,autorité,indépendance,france
18.880157810518142,priorité,nationale,absolue
10.44337841724456,gens,front,national
14.350269012853076,sympathisants,front,national
20.803300775169976,individuelle,dignité,sociale
25.64900587021694,orléans,écrase,anglais
15.770845450862602,français,rassemblement,forces
15.631932356857991,français,origine,étrangère
15.59717268924705,français,rendent,compte
13.265610142612179,français,doivent,savoir
13.205248275008373,français,chers,compatriotes
9.593184800640682,français,citoyens,français
20.1224600557211,militaire,volontaire,mois
11.125016937377389,vote,front,national
19.418934639909835,lettre,jean,marie
21.818930871659248,réveil,sera,terrible
19.157977406685298,pays,contrainte,injuste
13.69457688584506,pays,tiers,monde
13.46935620435779,pays,millions,habitants
12.535962574193352,pays,union,européenne
10.381837962412355,pays,certain,nombre
7.849316618295429,pays,faut,dire
20.345051209069833,suppression,impôt,revenu
19.882713604781216,suppression,double,peine
19.020211448640598,hausse,pouvoir,achat
14.440148335021274,pire,jospin,crois
16.01926474462194,rocard,premier,ministre
11.950338405964441,autour,front,national
19.10578496916899,immigrés,situation,irrégulière
15.943765165812021,immigrés,tiers,monde
7.46793604482108,immigrés,plus,plus
15.53014717366274,assemblée,nationale,malgré
23.789604200389736,affaire,mantes,jolie
21.33093010082518,classe,politico,médiatique
12.641320672721932,classe,politique,française
26.44486515343671,pieds,poings,liés
24.213910718596836,pieds,noirs,harkis
23.942364812907527,lire,écrire,compter
23.20539921874132,lire,écrire,monter
22.1477183881374,contrôles,laisse,entrer
19.10497981160021,quatrième,puissance,économique
21.324698147113665,sainte,martyre,plan
16.62709612832771,appelle,voix,disent
22.36094266989162,peser,baisse,salaires
16.17888481688205,bureau,politique,unanimité
14.796415180059636,bureau,politique,bureau
11.369690895160666,bureau,politique,front
12.302620427164427,république,vive,france
20.86500052035523,réduire,coûts,prix
29.66281166974197,ecclésiastique,présidé,infâme
20.99692917363724,doivent,garder,souvenir
20.912246390065064,lâchetés,plus,basses
20.572169917824116,pouvoirs,publics,successifs
30.270141983491577,fureurs,révolutionnaires,caboche
11.484020401741901,égard,front,national
16.707224627938405,verra,bien,verra
13.607688954387491,verra,bien,moment
21.11547218541785,tard,portes,paris
16.53402416887293,tard,jeanne,sait
21.009002005937816,vaste,zone,libre
20.492501384536943,toute,modification,traités
18.284608532895614,toute,classe,politico
18.25022553886995,toute,chose,égale
16.044029120949652,candidats,deuxième,tour
15.96474515904545,candidats,présidence,république
11.780413404522129,candidats,front,national
23.94539887299716,personnage,historique,parcours
21.735261603567352,rend,compte,productivité
23.016737654717424,manuels,salaires,intellectuels
26.877824560712817,garde,sceaux,arpaillange
14.09860262455216,voudrais,simplement,faire
12.068472709285498,voudrais,abord,dire
19.486580971285374,liste,arrivée,tête
12.47944767195208,liste,front,national
27.42779164007777,jargeau,juin,patay
20.794155292620925,intégré,culture,nationale
16.607800443009484,sécurité,première,libertés
14.687952442514256,sécurité,français,rassemblement
15.590318295177706,croissance,plus,faible
17.32517261537204,connu,parti,socialiste
12.929777083482126,programme,front,national
19.861646379484803,dette,publique,réelle
18.637235509597875,chers,camarades,chers
18.384469439217913,chers,amis,chers
21.941186621710244,corruption,politico,financière
23.292862059991663,agriculteurs,termine,professionnelle
26.644889761744707,acte,prière,jésus
23.19834446120737,charles,devenu,restera
18.437363201131227,vingt,dernières,années
22.270494246963203,pape,martin,sera
15.357111619817594,lutter,contre,immigration
14.370181847781623,siècles,plus,tard
20.413497616027417,supprimant,postes,travail
16.547442831921742,voté,contre,traité
19.139163015866902,chef,armées,chef
15.048015127808707,chef,guerre,grand
20.042027905972287,population,mondiale,passée
20.912246390065064,trahisons,lâchetés,plus
17.058793108808576,premier,ministre,villepin
16.885461505923015,premier,secrétaire,parti
14.85715924763893,premier,ministre,socialiste
14.432091640072919,premier,tour,élections
14.385632328980257,premier,tour,présidentielle
14.173435674749701,premier,ministre,jacques
14.006051646736601,premier,faire,élire
12.79826555858536,premier,ministre,président
12.013413345084352,premier,homme,politique
10.81599062754286,premier,tour,bien
28.399777263908174,présidé,infâme,évêque
19.096464847188155,passer,unanimité,majorité
19.256688447438172,ancien,secrétaire,général
17.173851486033705,ancien,ministre,intérieur
15.321827514642369,ancien,premier,ministre
17.62729613961096,lutte,contre,terrorisme
15.27518989605857,lutte,contre,insécurité
13.772149119096436,lutte,contre,immigration
12.095219850621966,autres,pays,européens
9.276724370959158,autres,pays,monde
27.345329479885798,fabius,strauss,kahn
21.866177978142044,baisse,salaires,manuels
19.798006475500465,baisse,salaires,travailleurs
18.15060808589627,baisse,pouvoir,achat
20.584517143765222,matin,paysans,arrive
26.10021698204926,1431,bûcher,rouen
24.673952227347165,guerre,famine,peste
15.048015127808707,guerre,grand,chef
21.87260103863504,institution,droits,douane
14.546694761712775,jours,premier,tour
21.05582286269081,définitivement,aides,européennes
13.799548640308863,euros,mois,millions
17.68205141626903,frontières,leurs,justes
21.38025781318875,service,militaire,volontaire
23.4411130185756,1974,regroupement,familial
16.810057103781908,président,conseil,constitutionnel
16.193805877307042,président,république,sortant
15.370301990861698,président,etats,unis
15.338847552269115,président,groupe,socialiste
15.141766219461857,président,conseil,général
14.270041463134127,président,république,chef
12.160130790521261,président,front,national
10.478213933933404,président,république,était
23.987777475267713,jean,michel,dubois
22.49202817672961,jean,claude,martinez
22.376342763185363,jean,pierre,stirbois
19.60396653374235,jean,marie,chevallier
14.849079031578885,jean,marie,avait
11.334807039789151,crois,aura,beaucoup
10.948206596558247,crois,certain,nombre
8.451751598269563,crois,front,national
8.08261659994876,crois,faut,faire
8.030599020076185,crois,crois,crois
27.930291980606953,michel,dubois,yann
16.140475348828662,défense,sociale,nouvelle
12.518785819902583,électeurs,front,national
21.234934784979515,temps,désinformation,diabolisation
17.225032927022827,temps,chômage,massif
22.27804452057309,train,anciens,compagnons
16.360818716029797,train,mettre,place
11.035915300264659,problème,immigration,faut
22.426613448880488,assurer,renouvellement,faudrait
16.160419708812494,soit,milliards,francs
14.587530040391915,soit,milliards,euros
13.06502209159408,identité,sécurité,français
21.536448703597234,installation,jeunes,agriculteurs
18.9929531938661,tours,élection,présidentielle
