word,raw_frequency
poste,12
croyaient,1
sexuelles,1
rétablie,2
efforçant,1
blessent,1
mentir,1
aggravation,6
lièvres,1
aperçoivent,4
lourdes,4
mauvaises,10
gras,1
documents,2
entrainer,7
apportées,1
écœurés,1
désarmer,1
isabella,1
vivants,2
accru,1
étranger,24
tixier,1
samedi,1
mélangeons,1
marée,1
bouche,8
oxygéner,2
ouvrent,3
séance,4
participais,1
retraits,1
cruellement,1
jupe,2
également,18
appartiennent,1
rompt,2
gain,1
cheftaine,1
retraite,19
situés,1
brigades,1
laguiller,3
fonctionnaires,27
combien,11
signeraient,1
rompe,1
impétrants,1
répandues,1
mille,24
groupuscule,1
juif,1
assister,2
libérons,2
remplissent,2
qualifications,1
délirantes,1
duquel,1
yauts,1
seselj,1
tiède,2
conduire,7
ticpe,1
grandiose,1
incarnent,1
fasse,17
chandelles,1
convoqueront,1
perdons,1
desendettement,1
autriche,1
traditionnellement,1
couvre,2
sélectionnées,1
rétablir,11
voté,32
gogos,1
myopes,1
fatigant,1
concernent,1
cesserai,1
équilibre,9
automobile,1
croirais,1
jugements,1
effectue,3
accuser,2
déséquilibre,1
vacillante,1
incarner,3
plaque,1
réductions,1
cures,3
plainte,3
convalescence,1
queue,2
inexpulsables,1
opposent,1
faibles,6
grégoire,1
coram,2
indemnité,1
judiciairement,1
ripou,2
achète,3
automatique,2
divergentes,1
parcourt,1
illustres,1
carreau,1
applaudissent,1
match,2
désendettement,2
progrès,11
étoile,1
pharmaceutiques,1
premiers,8
témoigner,2
duprat,2
apolitique,1
côtes,3
taubira,1
2011,13
dépassez,1
imprimés,1
ramassis,1
loyauté,7
blair,6
précèdent,1
novembre,8
souvenir,3
aidées,3
bulles,1
travaillons,2
beurre,1
satisfaits,1
caméras,3
déliant,1
sache,4
électoraux,3
venait,3
conflits,7
briois,2
beaux,1
dangers,6
révèleront,1
différentes,29
condamnations,4
delon,1
métissage,3
inventée,1
pensions,1
verrait,2
spectacles,1
rafale,2
discuter,10
inquiets,1
catastrophe,5
brûler,1
secrétaire,9
anormal,1
vote,34
renvoyé,1
apparait,14
courants,4
sensibilités,2
votn,1
potentiel,1
abandonnent,1
bonnet,2
bonnes,12
limites,2
décompte,1
compétition,10
terminent,1
douzième,1
équilibré,1
commissariats,1
modifiée,1
arret,1
induites,1
brevet,3
plafond,2
sondeur,1
médecine,2
hussein,2
laïcité,16
fondamentalistes,5
angoisses,1
distinction,4
complétés,1
sauvés,1
aspiration,1
tomber,13
attentivement,4
médecins,8
nervis,1
pommes,1
instruments,5
tombez,1
désir,6
luttent,1
paraitre,2
asiatique,3
sachiez,1
correctes,2
schtaffel,1
chiffrage,13
régler,16
garantir,2
joie,2
échoué,5
essayant,3
eric,1
reportées,1
jmlp,6
résume,1
agitons,1
baron,2
juin,3
doigts,1
insee,3
sexuels,1
blancs,6
tomberait,1
volant,1
sanctionnée,1
éventuelles,1
belligérant,1
réintègre,1
internes,2
internet,10
protestataire,1
oklahoma,1
chocolat,2
taire,3
damoclès,1
supporterait,1
réserve,13
poussée,3
outrecuidance,1
attachement,3
évidemment,169
choc,1
etats,33
supranationale,1
chiraquien,1
francophones,1
places,24
piteuses,1
islamisme,9
ignominieux,1
inconcevable,1
inquiète,4
distinguez,1
vizier,1
stratégiques,7
locale,1
sauvé,5
prévoyait,1
guerre,68
remarque,9
respecter,22
lieux,6
prévoyaient,1
confort,4
ores,5
indépendant,3
américaine,7
élargissement,2
aloi,1
proclamer,1
imposées,1
char,1
diabolisé,2
réunir,4
adhésion,5
correspondent,3
associé,2
américains,20
durcies,1
éliminés,2
dévouement,4
rompues,1
coopérer,1
correct,3
gilet,2
volent,1
nuis,1
pratiquez,1
stratège,9
justifiaient,1
nuit,1
deviennent,2
épouvantablement,1
prétendait,2
vietnamiens,1
tentés,1
moquent,1
villepinte,1
débrouiller,1
comprennent,7
nazisme,1
resteraient,1
marqueur,2
électoralistes,1
enlever,1
réservé,7
apprenne,1
jambes,4
créditez,1
surement,6
budgétaires,2
antional,1
jaillit,1
protectorat,1
faisait,14
monnaies,6
électeurs,94
juges,7
malheureux,6
résoudre,22
entendrez,1
poivre,4
préservatifs,1
sharia,1
collectif,1
remarqué,5
changera,5
radios,3
vivons,10
tournerais,1
électrices,5
réorganisation,1
charme,2
chanteuse,1
mosquées,3
gouverner,6
communs,3
pousser,2
rémunération,3
emporter,5
possibles,5
détournement,1
désolée,4
noyé,1
plan,52
empire,1
résoudra,1
leçons,18
équilibres,1
tolère,2
portions,1
frotte,1
fort,11
durer,5
dures,3
caricaturées,1
obligées,1
métaphore,1
venaient,7
boulogne,1
moulins,2
commerciaux,2
peules,1
connaître,2
frédéric,3
sondages,51
impasse,2
gisbert,1
précampagne,2
accidents,1
sachant,3
résolument,1
rendant,1
capital,3
veto,1
puisque,137
partisan,8
handicape,1
bradé,1
successeurs,1
imprévision,1
dérive,11
ministères,2
autosuffisance,1
précises,6
hasard,5
tarder,1
techniques,3
gayant,1
payé,9
balais,1
pointé,1
entendent,5
dévalue,1
national,403
vider,2
embauche,1
réinstaurer,1
candidature,17
barthélemy,2
identifié,1
prisonnier,3
bandes,4
bouillir,2
connivence,2
alika,1
voulez,74
polémiques,4
félonie,1
juridiction,1
activités,4
féroce,2
valoriser,1
ouvrez,1
osez,1
langes,1
anormale,1
recherchent,1
parallèlement,4
convienne,1
restaurant,1
renault,4
disent,34
installation,1
genre,18
dissidence,1
dites,44
abuse,2
émergents,2
commandée,1
extraordinaire,16
vanité,1
manquer,1
pluralisme,1
fantôme,3
quarts,5
députation,2
déferler,1
effectués,1
aggravait,1
hausse,6
obéissance,2
églises,1
dessin,1
chômeur,1
coûteuse,1
raffarineries,1
exister,6
aviation,2
évacuation,1
écornez,1
bertrand,2
travaillent,10
referendum,14
bombardement,1
matador,1
listes,10
majorité,51
phonographique,1
voyons,14
ouvrira,1
utopies,1
encouragent,1
rebellée,1
miroir,1
paye,5
allée,2
durable,3
parisiens,1
misère,11
règlementation,1
dupe,2
réfléchiront,1
abandonnons,1
réalisée,2
souhaitons,1
sorcier,3
pays,397
allés,3
obligerais,1
suédois,1
vêtements,1
partage,8
prêches,2
disant,24
dévalué,1
parmi,6
touchera,1
revenues,1
gaulle,17
monétisation,1
entends,14
massacrés,1
innocence,3
adverse,1
téléphones,3
montés,1
excepte,1
professent,1
alourdir,2
étroitement,2
avatars,1
événement,3
planifiée,1
valider,1
fonctionné,2
reposait,1
trouve,106
sportive,2
cambadélis,2
économisés,1
tranquillement,2
salaires,37
courage,27
craignait,1
invraisemblable,2
